work_id;Error Type;Error Scope;Title;Link;(Major) Character Death Evidence;Presentation_Mode;Narrator_POV;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;summary_P;Classification;Reason;words
17464;;;Requiem;https://archiveofourown.org/works/17464;"""You watch when Achilles strikes your brother down, watch your brother's glorious form fall under the wrath of a goddess's son, and you can almost hear your brother telling you again that he hates you, that you are the reason he won't live to see the sun set this day.""";narrator;second;Hector;Hector;1;0;0;0;Achilles;Achilles;1;0;0;0;slaying;slain by Achilles;1;0;0;0;Paris, the prince of Troy, lies alone in his extravagant bed, estranged from Helen and Oenone, the only ones he has ever loved being Hector, his brother. Hector, who loves and hates Paris simultaneously, confronts him for bringing Helen to Ilium, sparking war, and weakening his resolve. Despite their tumultuous relationship, Hector admits he cannot hate Paris entirely. After a passionate yet bitter encounter, Hector leaves, foreseeing his own death at Achilles' hands as punishment for killing Patroclus. The next day, Hector is slain by Achilles, and Paris, overcome with guilt and grief, vows revenge, seeking Apollo's aid to avenge his brother's death, acknowledging that Hector was the only person he ever truly loved.;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1122
17464;;;Requiem;https://archiveofourown.org/works/17464;"""""Because I killed Patroclus, Achilles won't let me live.""""";direct speech;second;Patroclus;Patroclus;1;0;0;0;Hector;Hector;1;0;0;0;unspecified;killed;1;0;0;0;Paris, the prince of Troy, lies alone in his extravagant bed, estranged from Helen and Oenone, the only ones he has ever loved being Hector, his brother. Hector, who loves and hates Paris simultaneously, confronts him for bringing Helen to Ilium, sparking war, and weakening his resolve. Despite their tumultuous relationship, Hector admits he cannot hate Paris entirely. After a passionate yet bitter encounter, Hector leaves, foreseeing his own death at Achilles' hands as punishment for killing Patroclus. The next day, Hector is slain by Achilles, and Paris, overcome with guilt and grief, vows revenge, seeking Apollo's aid to avenge his brother's death, acknowledging that Hector was the only person he ever truly loved.;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1122
17701;FNmaj;SUM;what we can never say ;https://archiveofourown.org/works/17701;"""He is both more and less fierce at the same time: he is more efficient and methodical at killing his enemies, but his attention is also less concentrated on the task at hand, like something big's happening elsewhere. """;narrator;second;Hector's enemies;;0;0;1;0;Hector;;0;0;1;0;unspecified;;0;0;0;1;The narrative recounts Achilles' complex relationships and internal struggles during the Trojan War. In the spring of Year 10, Achilles is awarded Briseis as a prize and taunts her, but his true affection lies with Patroclus. Their bond deepens as they share intimate moments, while Briseis becomes a secondary figure in Achilles' life. By summer, tension arises as Patroclus grows unhappy, though their physical connection remains strong despite emotional distance. In autumn, Achilles is consumed by grief over Patroclus' death, unable to let go of his body and seeking solace in the idea of reuniting with him in the afterlife. By winter, Achilles defeats the Amazon Queen but is haunted by memories of Patroclus, whose beauty and significance overshadow all else. Throughout, Achilles' love for Patroclus endures as his defining force, even as he grapples with loss and glory.;Incorrect;Errors but no TPs.;5730
17701;FNmaj;SUM;what we can never say ;https://archiveofourown.org/works/17701;"""Fighting is in your blood, and it is always a rush killing your opponents, a simple stab of your spear or maybe a deep slash of your dagger."" [...] ""You only care about the way it feels as you move along the battlefield, an endless thrill and high and breathlessness as you dodge and stab and slash and block and kill.""";narrator;second;Achilles' opponents;;0;0;1;0;Achilles;;0;0;1;0;stabbing;;0;0;1;0;The narrative recounts Achilles' complex relationships and internal struggles during the Trojan War. In the spring of Year 10, Achilles is awarded Briseis as a prize and taunts her, but his true affection lies with Patroclus. Their bond deepens as they share intimate moments, while Briseis becomes a secondary figure in Achilles' life. By summer, tension arises as Patroclus grows unhappy, though their physical connection remains strong despite emotional distance. In autumn, Achilles is consumed by grief over Patroclus' death, unable to let go of his body and seeking solace in the idea of reuniting with him in the afterlife. By winter, Achilles defeats the Amazon Queen but is haunted by memories of Patroclus, whose beauty and significance overshadow all else. Throughout, Achilles' love for Patroclus endures as his defining force, even as he grapples with loss and glory.;Incorrect;All three elements have FP or FN.;5730
17701;FNmin;SUM;what we can never say ;https://archiveofourown.org/works/17701;"""They are ready for your attack, and it goes badly at first when Achaeans are being slaughtered even before they set foot on land.""";narrator;second;Achaeans;;0;0;1;0;Trojans;;0;0;1;0;shot;;0;0;1;0;The narrative recounts Achilles' complex relationships and internal struggles during the Trojan War. In the spring of Year 10, Achilles is awarded Briseis as a prize and taunts her, but his true affection lies with Patroclus. Their bond deepens as they share intimate moments, while Briseis becomes a secondary figure in Achilles' life. By summer, tension arises as Patroclus grows unhappy, though their physical connection remains strong despite emotional distance. In autumn, Achilles is consumed by grief over Patroclus' death, unable to let go of his body and seeking solace in the idea of reuniting with him in the afterlife. By winter, Achilles defeats the Amazon Queen but is haunted by memories of Patroclus, whose beauty and significance overshadow all else. Throughout, Achilles' love for Patroclus endures as his defining force, even as he grapples with loss and glory.;Incorrect;All three elements have FP or FN.;5730
17701;FNmin;KE;what we can never say ;https://archiveofourown.org/works/17701;"""The Amazon Queen is a good opponent, but you defeat her in the end the same way you have defeated everyone else. Even in death, she looks beautiful, and it reminds you of Patroclus lying before you, hint of blood still on his golden skin reminding you of how he must have died.""";narrator;second;The Amazon Queen;;0;0;1;0;Achilles;;0;0;1;0;unspecified;;0;0;0;1;The narrative recounts Achilles' complex relationships and internal struggles during the Trojan War. In the spring of Year 10, Achilles is awarded Briseis as a prize and taunts her, but his true affection lies with Patroclus. Their bond deepens as they share intimate moments, while Briseis becomes a secondary figure in Achilles' life. By summer, tension arises as Patroclus grows unhappy, though their physical connection remains strong despite emotional distance. In autumn, Achilles is consumed by grief over Patroclus' death, unable to let go of his body and seeking solace in the idea of reuniting with him in the afterlife. By winter, Achilles defeats the Amazon Queen but is haunted by memories of Patroclus, whose beauty and significance overshadow all else. Throughout, Achilles' love for Patroclus endures as his defining force, even as he grapples with loss and glory.;Incorrect;Errors but no TPs.;5730
17701;FNmin;SUM;what we can never say ;https://archiveofourown.org/works/17701;"""When you kill a young boy who looks the way Patroclus did years ago, you think, but you are not Patroclus, and you do not have an Achilles who would do anything to keep you alive. """;narrator;second;a young boy;;0;0;1;0;Achilles;;0;0;1;0;unspecified;;0;0;0;1;The narrative recounts Achilles' complex relationships and internal struggles during the Trojan War. In the spring of Year 10, Achilles is awarded Briseis as a prize and taunts her, but his true affection lies with Patroclus. Their bond deepens as they share intimate moments, while Briseis becomes a secondary figure in Achilles' life. By summer, tension arises as Patroclus grows unhappy, though their physical connection remains strong despite emotional distance. In autumn, Achilles is consumed by grief over Patroclus' death, unable to let go of his body and seeking solace in the idea of reuniting with him in the afterlife. By winter, Achilles defeats the Amazon Queen but is haunted by memories of Patroclus, whose beauty and significance overshadow all else. Throughout, Achilles' love for Patroclus endures as his defining force, even as he grapples with loss and glory.;Incorrect;Errors but no TPs.;5730
17701;FNmin;SUM;what we can never say ;https://archiveofourown.org/works/17701;"""Fighting is in your blood, and it is always a rush killing your opponents, a simple stab of your spear or maybe a deep slash of your dagger."" [...] ""You only care about the way it feels as you move along the battlefield, an endless thrill and high and breathlessness as you dodge and stab and slash and block and kill.""";narrator;second;Achilles' opponents;;0;0;1;0;Achilles;;0;0;1;0;slashing;;0;0;1;0;The narrative recounts Achilles' complex relationships and internal struggles during the Trojan War. In the spring of Year 10, Achilles is awarded Briseis as a prize and taunts her, but his true affection lies with Patroclus. Their bond deepens as they share intimate moments, while Briseis becomes a secondary figure in Achilles' life. By summer, tension arises as Patroclus grows unhappy, though their physical connection remains strong despite emotional distance. In autumn, Achilles is consumed by grief over Patroclus' death, unable to let go of his body and seeking solace in the idea of reuniting with him in the afterlife. By winter, Achilles defeats the Amazon Queen but is haunted by memories of Patroclus, whose beauty and significance overshadow all else. Throughout, Achilles' love for Patroclus endures as his defining force, even as he grapples with loss and glory.;Incorrect;All three elements have FP or FN.;5730
17701;;;what we can never say ;https://archiveofourown.org/works/17701;"""He chides you for not burying his body, but you cannot help it. You cannot bear to let him go, to watch the flames engulf and consume him, to never touch that lovely face and beautiful skin again. But you still cannot refuse him, so you tell him yes. Even as a ghost, you want him and love him, and you ask him to come closer so you can hold him one moment more. But he disappears before you can reach him, and you are left alone again. You have gotten your everlasting glory at a terrible price, and you do not care about dying here any longer. You will not let it claim you easily, but you will not fight it, either, not when Patroclus is waiting for you on the other side. """;narrator;second;Patroclus;Patroclus;1;0;0;0;---;;0;0;0;1;unspecified;;0;0;0;1;The narrative recounts Achilles' complex relationships and internal struggles during the Trojan War. In the spring of Year 10, Achilles is awarded Briseis as a prize and taunts her, but his true affection lies with Patroclus. Their bond deepens as they share intimate moments, while Briseis becomes a secondary figure in Achilles' life. By summer, tension arises as Patroclus grows unhappy, though their physical connection remains strong despite emotional distance. In autumn, Achilles is consumed by grief over Patroclus' death, unable to let go of his body and seeking solace in the idea of reuniting with him in the afterlife. By winter, Achilles defeats the Amazon Queen but is haunted by memories of Patroclus, whose beauty and significance overshadow all else. Throughout, Achilles' love for Patroclus endures as his defining force, even as he grapples with loss and glory.;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;5730
41491;FNmin;SUM;Intended;https://archiveofourown.org/works/41491;"""What can you say about a twenty-one year old girl who died? That she wasn't twenty-one, for starters. She was thirty-two when she died and looked every day of it.""";narrator;third;A twenty-one year old girl;;0;0;1;0;---;;0;0;0;1;unspecified;;0;0;0;1;The story revolves around the complex relationship between Achilles and Penthesilea, queen of the Amazons. Three years prior, they shared a deep connection, discussing fate and curses, with Achilles noting her wisdom and strength. Their interactions were marked by mutual respect and unspoken intimacy, as he avoided being addressed by name, even by lovers. Years later, they face each other in battle, recognizing each other beneath their warrior masks. The fight is intense, with both showcasing their prowess, but ultimately, Achilles strikes the fatal blow, killing Penthesilea. As he mourns her death, reflecting on their past and the inevitability of their fates, it becomes clear that neither deserved more than what destiny had ordained for them.;Incorrect;Errors but no TPs.;1574
